X,Y,Z,Point_Sequence
318230.6632755.9,640,0
318971.474018,6692856.941010,562.009000,1
319028.365986,6692905.204987,556.108000,2
318916.469013,6693236.035999,522.515999,3
318904.368144,6693244.422354,522.353600,4
318898.564618,6693298.311566,525.993464,5
318855.092791,6693359.317544,533.940980,6
318856.454500,6693433.568400,529.569532,7
318855.366858,6693465.950313,530.942236,8
318852.620794,6693492.078868,529.058283,9
318853.533186,6693514.723252,526.354699,10
318859.404497,6693529.892399,525.108043,11
318867.212388,6693535.416483,523.969419,12
318877.896835,6693561.196748,524.542664,13
318876.867204,6693582.138884,526.911962,14
318863.086777,6693617.929860,528.940720,15
318868.829337,6693621.795471,529.204851,16
318873.844902,6693630.286334,529.938373,17
318874.166594,6693646.178024,530.792191,18
318873.946722,6693701.226697,535.486339,19
318863.757275,6693710.982569,536.311599,20
318848.061328,6693712.552744,538.056209,21
318841.093615,6693710.880724,538.990163,22
318831.202599,6693697.080013,540.038448,23
318832.377848,6693657.757152,544.116451,24
318839.344548,6693645.623468,545.129359,25
318852.294514,6693641.905730,546.322240,26
318865.094114,6693649.137036,547.599792,27
318868.470516,6693659.184673,548.226149,28
318867.863156,6693696.337286,552.457990,29
318604.498304,6693695.846328,569.667193,30
318604.617230,6693644.777083,573.393497,31
318601.940553,6693635.544722,574.532124,32
318586.514644,6693630.122112,576.019130,33
318572.463541,6693628.292691,577.634541,34
318561.515322,6693633.438570,578.679318,35
318554.839308,6693644.142700,579.464564,36
318552.051646,6693671.869711,583.010000,37
318556.547056,6693688.338330,584.181413,38
318567.287847,6693697.706489,585.614484,39
318576.313480,6693697.795590,586.836823,40
318589.194756,6693688.682260,588.330000,41
318589.859947,6693640.035636,592.980000,42
318581.533074,6693624.833374,595.466311,43
318577.408551,6693587.985269,599.296169,44
318556.842804,6693574.349214,601.643605,45
318555.657767,6693562.398119,601.252062,46
318474.105228,6693518.165088,608.692433,47
318471.455455,6693507.469068,609.028332,48
318475.323839,6693500.925022,609.802076,49
318481.379805,6693495.124186,610.652816,50
318492.797226,6693489.264444,612.760000,51
318527.106221,6693507.963287,615.840000,52
318535.026024,6693517.029261,615.497377,53
318517.869316,6693546.561275,618.390100,54
318368.633400,6693515.035459,630.414620,55
318281.194808,6693497.115956,639.210000,56
318234.595448,6693487.394219,643.788117,57
318139.313386,6693431.927105,655.364591,58
318132.316828,6693407.766996,656.833807,59
318120.332860,6693387.572031,658.309200,60
318125.152149,6693365.539249,661.059952,61
318144.618818,6693329.837206,663.394000,62
318149.107723,6693285.541364,665.001000,63
318176.040444,6693255.979596,664.813564,64
318971.474018,6692856.941010,562.009000,1
318197.249354,6693239.394304,664.319985,65
318216.146273,6693194.850295,666.997272,66
318329.751626,6693141.150401,664.880005,67
