x;y;z;Point_Sequence
318570.41;6693077.18;684.1;0
318971.474;6692856.941;562.009;1
319028.366;6692905.205;556.108;2
318916.469;6693236.036;522.515999;3
318904.3681;6693244.422;522.3536;4
318898.5646;6693298.312;525.993464;5
318855.0928;6693359.318;533.94098;6
318856.4545;6693433.568;529.569532;7
318855.3669;6693465.95;530.942236;8
318852.6208;6693492.079;529.058283;9
318853.5332;6693514.723;526.354699;10
318859.4045;6693529.892;525.108043;11
318867.2124;6693535.416;523.969419;12
318877.8968;6693561.197;524.542664;13
318876.8672;6693582.139;526.911962;14
318863.0868;6693617.93;528.94072;15
318868.8293;6693621.795;529.204851;16
318873.8449;6693630.286;529.938373;17
318874.1666;6693646.178;530.792191;18
318873.9467;6693701.227;535.486339;19
318863.7573;6693710.983;536.311599;20
318848.0613;6693712.553;538.056209;21
318841.0936;6693710.881;538.990163;22
318831.2026;6693697.08;540.038448;23
318832.3778;6693657.757;544.116451;24
318839.3445;6693645.623;545.129359;25
318852.2945;6693641.906;546.32224;26
318865.0941;6693649.137;547.599792;27
318868.4705;6693659.185;548.226149;28
318867.8632;6693696.337;552.45799;29
318604.4983;6693695.846;569.667193;30
318604.6172;6693644.777;573.393497;31
318601.9406;6693635.545;574.532124;32
318586.5146;6693630.122;576.01913;33
318572.4635;6693628.293;577.634541;34
318561.5153;6693633.439;578.679318;35
318554.8393;6693644.143;579.464564;36
318552.0516;6693671.87;583.01;37
318556.5471;6693688.338;584.181413;38
318567.2878;6693697.706;585.614484;39
318576.3135;6693697.796;586.836823;40
318589.1948;6693688.682;588.33;41
318589.8599;6693640.036;592.98;42
318581.5331;6693624.833;595.466311;43
318577.4086;6693587.985;599.296169;44
318556.8428;6693574.349;601.643605;45
318555.6578;6693562.398;601.252062;46
318474.1052;6693518.165;608.692433;47
318471.4555;6693507.469;609.028332;48
318475.3238;6693500.925;609.802076;49
318481.3798;6693495.124;610.652816;50
318492.7972;6693489.264;612.76;51
318527.1062;6693507.963;615.84;52
318535.026;6693517.029;615.497377;53
318517.8693;6693546.561;618.3901;54
318368.6334;6693515.035;630.41462;55
318281.1948;6693497.116;639.21;56
318234.5954;6693487.394;643.788117;57
318139.3134;6693431.927;655.364591;58
318132.3168;6693407.767;656.833807;59
318120.3329;6693387.572;658.3092;60
318125.1521;6693365.539;661.059952;61
318144.6188;6693329.837;663.394;62
318149.1077;6693285.541;665.001;63
318176.0404;6693255.98;664.813564;64
318197.2494;6693239.394;664.319985;65
318216.1463;6693194.85;666.997272;66
318329.7516;6693141.15;664.880005;67
318971.474;6692856.941;562.009;1
